	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
Kanji	Reading	What it counts  (general category)	Category	Use	1	2	3	4	5	6	7	8	9	10	"How Many"	Article URL	まみ先生 Notes
〜つ	〜つ	Anything	Absolutely Must Know	Daily	ひとつ	ふたつ	みっつ	よっつ	いつつ	むっつ	ななつ	やっつ	ここのつ	とお	いくつ	https://www.tofugu.com/japanese/japanese-counter-tsu/	
個	こ	Anything with a distinct shape	Absolutely Must Know	Daily	いっこ	にこ	さんこ	よんこ	ごこ	ろっこ	ななこ (しちこ)	はちこ はっこ	きゅうこ	じゅっこ (じっこ)	なんこ	https://www.tofugu.com/japanese/japanese-counter-ko/	
本	ほん	Long, cylindrical things	Must Know	Daily	いっぽん	にほん	さんぼん	よんほん	ごほん	ろっぽん	ななほん (しちほん)	はっぽん はちほん	きゅうほん	じゅっぽん (じっぽん)	なんぼん (なんほん) (なんぽん)	https://www.tofugu.com/japanese/japanese-counter-hon/	七本鎗 しちほんやり, 七本松通 しちほんまつどおり, 七本木 しちほんぎ  This NHK site actually says 四本 can be read as しほん too, but I think this is very rare. https://www.mbs.jp/announcer/blog/14/201207.shtml
枚	まい	Flat things	Must Know	Daily	いちまい	にまい	さんまい	よんまい (よまい)	ごまい	ろくまい	ななまい (しちまい)	はちまい	きゅうまい	じゅうまい	なんまい	https://www.tofugu.com/japanese/japanese-counter-mai/	九枚笹 can be read as くまいざさ, but it's an irregular reading.
匹	ひき	Animals, bugs, fish, monsters that don't like humans	Must Know	Daily	いっぴき	にひき	さんびき	よんひき	ごひき	ろっぴき	ななひき (しちひき)	はっぴき はちひき	きゅうひき	じゅっぴき (じっぴき)	なんびき	https://www.tofugu.com/japanese/japanese-counter-hiki/	
頭	とう	Large animals, farm animals	Must Know	Daily	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう はちとう	きゅうとう	じゅっとう (じっとう)	なんとう	https://www.tofugu.com/japanese/japanese-counter-tou/	七頭 (しちとう) could have a specific meaning: https://dictionary.goo.ne.jp/jn/97927/meaning/m0u/
羽	わ	Birds, rabbits	Must Know	Daily	いちわ	にわ	さんわ さんば	よんわ よんば (よわ)	ごわ	ろくわ (ろっぱ)	ななわ (しちわ)	はちわ (はっぱ)	きゅうわ	じゅうわ じゅっぱ (じっぱ)	なんわ なんば		
冊	さつ	Books	Must Know	Daily	いっさつ	にさつ	さんさつ	よんさつ	ごさつ	ろくさつ	ななさつ (しちさつ)	はっさつ はちさつ	きゅうさつ	じゅっさつ (じっさつ)	なんさつ		
台	だい	Platforms, machines, vehicles	Must Know	Daily	いちだい	にだい	さんだい	よんだい	ごだい	ろくだい	ななだい (しちだい)	はちだい	きゅうだい	じゅうだい	なんだい	https://www.tofugu.com/japanese/japanese-counter-dai/	
