# Generated on 2026-03-18T15:22:45.144Z from https://bunpro.jp/grammar_points
id	href	option	title-jp	title-en
だ	https://bunpro.jp/grammar_points/だ	N5 Lesson 1	だ	To be, Is
です	https://bunpro.jp/grammar_points/です	N5 Lesson 1	です	To be, Is
は	https://bunpro.jp/grammar_points/は	N5 Lesson 1	は	As for... (Highlights sentence topic)
も	https://bunpro.jp/grammar_points/も	N5 Lesson 1	も	Also, Too, As well, Even, Either, Neither
これ	https://bunpro.jp/grammar_points/これ	N5 Lesson 1	これ	This
それ	https://bunpro.jp/grammar_points/それ	N5 Lesson 1	それ	That
あれ	https://bunpro.jp/grammar_points/あれ	N5 Lesson 1	あれ	That (over there)
の	https://bunpro.jp/grammar_points/の	N5 Lesson 1	の	Indicates possession
いい	https://bunpro.jp/grammar_points/いい	N5 Lesson 1	いい →  いい	い-Adjective meaning 'good'
い-adjectives	https://bunpro.jp/grammar_points/い-adjectives	N5 Lesson 1	い-Adjectives →  い-Adjective	Adjectives ending in い
な-adjectives	https://bunpro.jp/grammar_points/な-adjectives	N5 Lesson 1	な-Adjectives →  な-Adjective	Adjectives that are also nouns
か	https://bunpro.jp/grammar_points/か	N5 Lesson 1	か	Question marking particle
が	https://bunpro.jp/grammar_points/が	N5 Lesson 2	が	Subject marking particle, Identification particle
よ	https://bunpro.jp/grammar_points/よ	N5 Lesson 2	よ	Emphasis (Sentence ending particle)
ね	https://bunpro.jp/grammar_points/ね	N5 Lesson 2	ね	Isn't it?, Right? (Sentence ending particle)
る-Verbs	https://bunpro.jp/grammar_points/る-Verbs	N5 Lesson 2	る-Verb (Dictionary)	る + ます (Ichidan Verbs)
う-Verbs	https://bunpro.jp/grammar_points/う-Verbs	N5 Lesson 2	う-Verb (Dictionary)	う + ます (Godan Verbs)
を	https://bunpro.jp/grammar_points/を	N5 Lesson 2	を	Object marking particle
polite-verb-endings	https://bunpro.jp/grammar_points/polite-verb-endings	N5 Lesson 2	ます	Polite Verb Endings
るverb-ない	https://bunpro.jp/grammar_points/るverb-ない	N5 Lesson 2	る-Verb (Negative)	Will/Does/Do (not)
うverb--ない	https://bunpro.jp/grammar_points/うverb--ない	N5 Lesson 2	う-Verb (Negative)	Will/Does/Do (not)
と-and	https://bunpro.jp/grammar_points/と-and	N5 Lesson 2	と	And
ここ	https://bunpro.jp/grammar_points/ここ	N5 Lesson 2	ここ	Here, This place
そこ	https://bunpro.jp/grammar_points/そこ	N5 Lesson 2	そこ	There, That place
あそこ	https://bunpro.jp/grammar_points/あそこ	N5 Lesson 2	あそこ	Over there
で	https://bunpro.jp/grammar_points/で	N5 Lesson 3	で	At, In
に	https://bunpro.jp/grammar_points/に	N5 Lesson 3	に	In, At, To, For, On
か-or	https://bunpro.jp/grammar_points/か-or	N5 Lesson 3	か	Or
と-with	https://bunpro.jp/grammar_points/と-with	N5 Lesson 3	と	With
でしょう	https://bunpro.jp/grammar_points/でしょう	N5 Lesson 3	でしょう	Right?, Probably, Isn't it?
だろう	https://bunpro.jp/grammar_points/だろう	N5 Lesson 3	だろう	Right?, Probably, Isn't it?
がある	https://bunpro.jp/grammar_points/がある	N5 Lesson 3	がある →  がある	To be, There is
がいる	https://bunpro.jp/grammar_points/がいる	N5 Lesson 3	がいる →  がいる	To be, There is, To remain (in a state)
この	https://bunpro.jp/grammar_points/この	N5 Lesson 3	この	This
その	https://bunpro.jp/grammar_points/その	N5 Lesson 3	その	That
あの	https://bunpro.jp/grammar_points/あの	N5 Lesson 3	あの	That (over there)
-んです-のです	https://bunpro.jp/grammar_points/-んです-のです	N5 Lesson 3	～んです・のです →  んです・のです	Explanatory, Emphasis, The fact is
past-tense-い-adjectives	https://bunpro.jp/grammar_points/past-tense-い-adjectives	N5 Lesson 3	い-Adjective (Past)	Was, Were (Past tense)
のは	https://bunpro.jp/grammar_points/のは	N5 Lesson 4	の →  のは・のが	Verb nominalizer, The one who..., That which...
い-adjective-noun	https://bunpro.jp/grammar_points/い-adjective-noun	N5 Lesson 4	い-Adjective + Noun →  い-Adjective + (Noun)	Describing a noun
な-adjective-noun	https://bunpro.jp/grammar_points/な-adjective-noun	N5 Lesson 4	な-Adjective + Noun →  な-Adjective + (Noun)	Describing a noun
へいく	https://bunpro.jp/grammar_points/へいく	N5 Lesson 4	へいく →  へいく	To go to, To head toward
する	https://bunpro.jp/grammar_points/する	N5 Lesson 4	する	To do, To make into
くる	https://bunpro.jp/grammar_points/くる	N5 Lesson 4	くる →  くる	To come
る-verb-past	https://bunpro.jp/grammar_points/る-verb-past	N5 Lesson 4	る-Verb (Past)	る - Verbs (Past tense)
う-verb-past	https://bunpro.jp/grammar_points/う-verb-past	N5 Lesson 4	う-Verb (Past)	う - Verbs (Past tense)
すき	https://bunpro.jp/grammar_points/すき	N5 Lesson 4	好き →  すき	Like, Fond of
きらい	https://bunpro.jp/grammar_points/きらい	N5 Lesson 4	きらい →  きらい	Dislike, Not fond of
のがすき	https://bunpro.jp/grammar_points/のがすき	N5 Lesson 4	のがすき →  のがすき	Like doing, Love doing
がある-noun	https://bunpro.jp/grammar_points/がある-noun	N5 Lesson 4	がある + Noun →  がある + (Noun)	Noun (B) that has Noun (A), Noun (B) with Noun (A)
negative-い-adjectives	https://bunpro.jp/grammar_points/negative-い-adjectives	N5 Lesson 4	い-Adjectives くない →  くない	Not (Adjective)
で-by	https://bunpro.jp/grammar_points/で-by	N5 Lesson 5	で	With, By (using)
ので	https://bunpro.jp/grammar_points/ので	N5 Lesson 5	ので	Because, So, Since, The reason being
から-because	https://bunpro.jp/grammar_points/から-because	N5 Lesson 5	から	Because, Since
から	https://bunpro.jp/grammar_points/から	N5 Lesson 5	から	From
けど-だけど	https://bunpro.jp/grammar_points/けど-だけど	N5 Lesson 5	けど・だけど →  けど	But, However
が-but	https://bunpro.jp/grammar_points/が-but	N5 Lesson 5	が	But, However
る-verb-neg-past	https://bunpro.jp/grammar_points/る-verb-neg-past	N5 Lesson 5	る-Verb (Negative-Past)	る - Verbs (Negative-past tense)
う-verb-neg-past	https://bunpro.jp/grammar_points/う-verb-neg-past	N5 Lesson 5	う-Verb (Negative-Past)	う - Verbs (Negative-past tense)
verb-て	https://bunpro.jp/grammar_points/verb-て	N5 Lesson 5	Verb + て →  ～て (Conjunction)	And, Then (Linking events)
