id	href	option	title-en	alias-of
ageru1		basic	s.o. gives s.t. to s.o.	
ageru2		basic	s.o. gives s.o. a favor by doing s.t.	
aida-(ni)		basic		
amari		basic		
anmari		basic		amari
aru1		basic	exist	
aru2		basic	s.t. has been done	
ato-de		basic		
ba		basic		
bakari		basic		
bakari-de-(wa)-naku-~-(mo)		basic		dake-de-(wa)-naku-~-(mo)
ba-yokatta		basic		
-chan		basic		-sama
chau		basic		shimau
chimau		basic		shimau
chittomo		basic		amari
chū-(ni)		basic		uchi-ni
da		basic		~-wa-~-da
daga		basic		ga2
dai		basic		
da-kara		basic		sore-de
dake		basic		
dake-de-(wa)-naku-~-(mo)		basic		
dakedo		basic		ga2
~dara		basic		~tara
darō		basic		
~dasu		basic		
-datte		basic		tatte
de		basic		-te
de1		basic	location	
de2		basic	instrument	
de3		basic	te-form of desu	
de4		basic	time	
de-ageru		basic		ageru2
de-aru		basic		aru2
de-hoshii		basic		hoshii2
de-iru		basic		iru2
de-itadaku		basic		morau2
de-kara		basic		kara2
de-kudasai		basic		~kudasai
de-kudasaru		basic		kureru2
de-kureru		basic		kureru2
de-miru		basic		miru
demo		basic	even	
de-mo-<te-mo>		basic	even if ~	
de-mo-ii		basic		~te-mo-ii
de-moraitai		basic		hoshii2
de-morau		basic		morau2
de-oku		basic		oku
de-sashiageru		basic		ageru2
de-shikata-ga-nai		basic		tamaranai
de-shimau		basic		shimau
deshō		basic		darō
desu		basic		~wa-~da
de-tamaranai		basic		tamaranai
de-wa-ikenai		basic		~-wa-ikenai
de-wa-naranai		basic		~wa-ikenai
de-yaru		basic		ageru2
dō		basic		
-domo		basic		-tachi
e		basic	direction	
eru		basic		rareru2
ga1		basic	subject marker	
ga2		basic	but	
~garu		basic		
-gata		basic		-tachi
go-		basic		o-
goro		basic		
goto-ni		basic		
gurai		basic		kurai
~hajimeru		basic		
hazu		basic		
hodo		basic		
hōhō		basic		-kata
hō-ga-ii		basic		
~hō-ga-~-yori		basic		
hoshii1		basic	want s.t.	
hoshii2		basic	want s.o. to do s.t.	
ichiban		basic		
ikaga		basic		dō
iku1		basic	go	
iku2		basic	go on -ing	
iru1		basic	exist	
iru2		basic	be -ing	
iru3		basic	need	
itadaku		basic		morau1
jau		basic		shimau
jibun1		basic	empathy marker	
jibun2		basic	contrast marker	
jimau		basic		shimau
ka1		basic	or	
ka2		basic	question marker	
ka-(dō-ka)		basic		
kai		basic		
kamoshirenai		basic		
kanā		basic		kashira
ka-ne		basic		ne
kara1		basic	from 	
kara2		basic	after doing s.t.	
kara3		basic	because	
kara-ne		basic		ne
kashira		basic		
-kata		basic		
kawari-ni		basic		
kedo		basic		keredomo
kedomo		basic		keredomo
kekkyoku		basic		yahari
keredo		basic		keredomo
keredomo		basic		
kesshite		basic		amari
kikeru		basic		kikoeru
kikoeru		basic		
kiraida		basic		
koto1		basic	thing	
koto2		basic	nominalizer	
koto-ga-aru1		basic	there was a time when ~	
koto-ga-aru2		basic	there are times when ~	
koto-ga-dekiru		basic		
koto-ni-kimeru		basic		koto-ni-suru
koto-ni-naru		basic		
koto-ni-natte-iru		basic		koto-ni-naru
koto-ni-shite-iru		basic		koto-ni-suru
koto-ni-suru		basic		
koto-wa		basic	indeed ~ but	
~kudasai		basic		
kudasaru		basic		~kudasai,kureru1,2
-kun		basic		
kurai		basic		
kureru1		basic	s.o. gives s.t. to me	
kureru2		basic	s.o. gives me a favor by do-ing s.t.	
kuru1		basic	come	
kuru2		basic	begin to, come to	
mada		basic		
made		basic		
made-de		basic		made-ni
made-ni		basic		
mae-ni		basic		
mai-		basic		
mama		basic		
masaka		basic		yahari
~mashō		basic		
mettani		basic		amari
-mi		basic		-sa
mieru		basic		
mirareru		basic		mieru
miru		basic		
mitaida		basic		yōda
mo1		basic	also	
mo2		basic	even	
mō		basic		
~mo-~mo		basic		
mon		basic		mono-(da)
mono-(da)		basic		
mono		basic		koto1
morau1		basic	receive	
morau2		basic	receive a favor of doing s.t.	
motte-iru		basic		aru1
na		basic		
nado		basic		
nagara		basic		
~nai-de		basic		
~nai-to-ikenai		basic		~nakereba-naranai
~nakereba-naranai		basic		
~naku(t)cha		basic		~nakereba-naranai
~naku-naru		basic		
~nakute		basic		
~nakute-wa-ikenai		basic		~nakereba-naranai
~nakute-wa-naranai		basic		~nakereba-naranai
nanka		basic		nado
nara		basic		
naru		basic		o-~-ni-naru
~nasai		basic		
ne		basic		
~neba-naranai		basic		~nakereba-naranai
n-da		basic		no-da
n-desu		basic		no-da
ni1		basic	point of time	
ni2		basic	indirect object marker	
ni3		basic	agent/source marker	
ni4		basic	direct contact	
ni5		basic	purpose	
ni6		basic	location (existence)	
ni7		basic	direction	
ni		basic	and	to1
ni-chigainai		basic		
ni-kimeru		basic		~ni-suru
-nikui		basic		
~ni-shite-wa		basic		
~ni-suru		basic		
no1		basic	possessive marker	
no2		basic	one (pronoun)	
no3		basic	nominalizer	
no4		basic	sentence-final particle	
no-da		basic		
node		basic		
no-desu		basic		no-da
no-hō-ga		basic		~hō-ga-~-yori
noni1		basic	even though	
noni2		basic	in the process of doing ~	
no-wa-~-da		basic		
o-		basic		
o1		basic	direct object marker	
o2		basic	space marker	
o3		basic	a point of detachment	
o4		basic	emotive marker	
ōi		basic		
oki-ni		basic		goto-ni
oku		basic		
o-~-ni-naru		basic		
o-~-suru		basic		
ō-to-omou		basic		~-yō-to-omou
o-tsukatte		basic		de2
~owaru		basic		
ōzei		basic		ōi
-ra		basic		-tachi
rareru1		basic	passive	
rareru2		basic	can (potential)	
rashii		basic		
relative-clause		basic		
reru		basic		rareru1
-sa		basic		
-sama		basic		
-san		basic		-sama
sappari		basic		amari
saserareru		basic		saseru1
saseru		basic		
sashiageru		basic		ageru1
sasuga-(ni)		basic		yahari
sekkaku		basic		
seru		basic		saseru
shi		basic		
-shi-		basic		
shika		basic		
shikashi		basic		ga2,kawari-ni
shikata-ga-nai		basic		tamaranai
shimau		basic		
shiru		basic		
sōda1		basic	hearsay	
~sōda2		basic	looks	
sore-de		basic		
sore-de-wa		basic		
sore-kara		basic		
sore-nara		basic		
soretomo		basic		
soshite		basic		
sugiru		basic		
sukida		basic		
sukoshimo		basic		amari
sukunai		basic		
suru1		basic	do, play	
suru2		basic	have	
suru3		basic	sensation	
suru4		basic	cost / lapse	
suru		basic		o-~-suru-(humble)
suru-to		basic		
-tachi		basic		
-tai		basic		
takusan		basic		ōi
tamaranai		basic		
tame-(ni)		basic		
~tara		basic		
~tara-dō-desu-ka		basic		
~tari		basic		
~tari-suru		basic		
-tatte		basic		
-te		basic		
te-ageru		basic		ageru2
te-aru		basic		aru2
te-hoshii		basic		hoshii2
te-iru		basic		iru2
te-itadaku		basic		morau2
te-kara		basic		kara2
te-kudasai		basic		~kudasai
te-kudasaru		basic		kureru2
te-kureru		basic		kureru2
te-miru		basic		miru
te-mo		basic		
~te-mo-ii		basic		
te-moraitai		basic		hoshii2
te-morau		basic		morau2
te-ne		basic		ne
te-oku		basic		oku
te-sashiageru		basic		ageru2
te-shikata-ga-nai		basic		tamaranai
te-shimau		basic		shimau
te-tamaranai		basic		tamaranai
te-wa-ikenai		basic		~wa-ikenai
te-wa-naranai		basic		~wa-ikenai
te-yaru		basic		ageru2
te-yokatta		basic		ba-yokatta
to1		basic	and	
to2		basic	with	
to3		basic	quote marker	
to4		basic	if, when	
~to-ieba		basic		
to-ittara		basic		~to-ieba
~to-iu		basic		
toka		basic		
toki		basic		
to-kitara		basic		~to-ieba
tokoro-da1		basic	place	
tokoro-da2		basic	moment	
roku		basic		oku
~to-shite		basic		
~to-shite-wa		basic		
isumori		basic		
ttara		basic		~to-ieba
-tte1		basic	speaking of	
-tte2		basic	quote marker	
uchi-ni		basic		
ushiro-ni		basic		mae-ni
wa1		basic	theme	
wa2		basic	female speech marker	
~wa-~da		basic		
~wa-~desu		basic		~wa-~da
~wa-~ga		basic		
~wa-ikenai		basic		
wakaru		basic		
wake-da		basic		
~wa-naranai		basic		~wa-ikenai
wazawaza		basic		sekkaku
wazuka		basic		sukunai
-ya		basic	store	
ya		basic	and	
yahari		basic		
yappari		basic		yahari
yaru		basic		ageru1,suru1
-yasui		basic		
yo		basic		
yōda		basic		
yo-ne		basic		ne
yoni1		basic	so that ~	
yoni2		basic	like	
~yōni-iu		basic		
~yōni-naru		basic		
~yōni-suru		basic		
yori1		basic	than	
yori2		basic	side	
~yō-to-omou		basic		
~yō-to-suru		basic		miru
zenzen		basic		amari
~zu-ni		basic		~nai-de
zutsu		basic		
