# Generated on 2026-02-26T05:40:38.730Z from https://wp.stolaf.edu/japanese/grammar-index/genki-i-ii-grammar-index/
id	href	option	title-en
adjectives	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/adjectives-genki-i-chapter-5/	Genki I	Adjectives
adjective-suru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/adjective-suru-genki-ii-chapter-21/	Genki II	Adjective + suru
ageru-kureru-morau	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/ageru-kureru-morau-genki-ii-chapter-14/	Genki II	ageru, kureru, morau
aidani	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/aidani-genki-ii-chapter-21/	Genki II	-aidani
aru-iru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/aru-iru-genki-i-chapter-4/	Genki I	aru, iru
ba	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/ba-genki-ii-chapter-22/	Genki II	-ba
basic-verb-conjugation	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/basic-verb-conjugation-genki-i-chapter-3/	Genki I	Basic verb conjugation
bayokatta-desu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/bayokatta-desu-genki-ii-chapter-18/	Genki II	-bayokatta-desu
causative-passive-sentences	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/causative-passive-sentences-genki-ii-chapter-23/	Genki II	Causative passive sentences
causative-sentences	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/causative-sentences-genki-ii-chapter-22/	Genki II	Causative sentences
comparison	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/comparison-genki-i-chapter-10/	Genki I	Comparison
connecting-nouns-with-ya	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/connecting-nouns-with-ya-genki-i-chapter-11/	Genki I	Connecting nouns with ya
counting	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/counting-genki-i-chapter-5/	Genki I	Counting
counting-people	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/counting-people-genki-i-chapter-7/	Genki I	Counting people
dare-no-noun	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/dare-no-noun-genki-i-chapter-2/	Genki I	dare-no + noun
degree-expressions	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/degree-expressions-genki-i-chapter-5/	Genki I	Degree expressions
describing-two-activities	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/describing-two-activities-genki-i-chapter-6/	Genki I	Describing two activities
descriptions	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/descriptions-genki-i-chapter-7/	Genki I	Descriptions
desho	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/desho-genki-i-chapter-12/	Genki I	-desho
desu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/desu-genki-i-chapter-1/	Genki I	desu
doko-kani-doko-nimo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/doko-kani-doko-nimo-genki-i-chapter-10/	Genki I	doko-kani, doko-nimo
duration-of-time	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/duration-of-time-genki-i-chapter-4/	Genki I	Duration of time
extra-modest-expressions	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/extra-modest-expressions-genki-ii-chapter-20/	Genki II	Extra modest expressions
frequency-adverbs	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/frequency-adverbs-genki-i-chapter-3/	Genki I	Frequency adverbs
frequency-of-events-over-a-period-of-time	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/frequency-of-events-over-a-period-of-time-genki-ii-chapter-13/	Genki II	Frequency of events over a period of time
giving-respectful-advice	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/giving-respectful-advice-genki-ii-chapter-19/	Genki II	Giving respectful advice
hazudesu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/hazudesu-genki-ii-chapter-19/	Genki II	-hazudesu
ho-ga-ii-desu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/ho-ga-ii-desu-genki-i-chapter-12/	Genki I	ho ga ii desu
honorific-verbs-keigo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/honorific-verbs-keigo-genki-ii-chapter-19/	Genki II	Honorific Verbs
hoshi	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/hoshi-genki-ii-chapter-14/	Genki II	hoshi
humble-expressions	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/humble-expressions-genki-ii-chapter-20/	Genki II	Humble expressions
kamoshiremasen	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/kamoshiremasen-genki-ii-chapter-14/	Genki II	kamoshiremasen
kara	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/kara-genki-i-chapter-6/	Genki I	-kara
kara-explanation-within-sentence	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/kara-explanation-within-sentence-genki-i-chapter-9/	Genki I	-kara (explanation within sentence)
kata	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/kara-explanation-within-sentence-genki-i-chapter-9-2/	Genki I	-kata
