# Generated on 2026-03-31T04:00:37.827Z from https://www.kanshudo.com/grammar/overview
id	href	level	title	gloss
々	https://www.kanshudo.com/grammar/%E3%80%85		々	kanji repetition symbol
お	https://www.kanshudo.com/grammar/%E3%81%8A		お	honorific / humble prefix
さ	https://www.kanshudo.com/grammar/%E3%81%95		さ	turns an い adjective into a noun
だ	https://www.kanshudo.com/grammar/%E3%81%A0	N5 Useful1	だ	'to be' - is, am, are
め-modifier	https://www.kanshudo.com/grammar/%E3%82%81-modifier	Useful5	め	vulgar modifier
ら	https://www.kanshudo.com/grammar/%E3%82%89		ら	pluralizing suffix
げ	https://www.kanshudo.com/grammar/%E3%81%92	N3 Useful3	〜げ	seems like, seems
かけ	https://www.kanshudo.com/grammar/%E3%81%8B%E3%81%91	N2 Useful4	かけ	not yet finished
かな	https://www.kanshudo.com/grammar/%E3%81%8B%E3%81%AA	Useful3	かな	I wonder if ...
から	https://www.kanshudo.com/grammar/%E3%81%8B%E3%82%89	N5 Useful1	から	because; so; since
きり	https://www.kanshudo.com/grammar/%E3%81%8D%E3%82%8A	N3 Useful3	きり	only; just
こそ	https://www.kanshudo.com/grammar/%E3%81%93%E3%81%9D	N3 Useful3	こそ	it is ~ that, ~ is the very (thing being emphasized), (for emphasis)
する	https://www.kanshudo.com/grammar/%E3%81%99%E3%82%8B	N5 Useful1	する	to do
せよ	https://www.kanshudo.com/grammar/%E3%81%9B%E3%82%88		せよ	archaic volitional
そう	https://www.kanshudo.com/grammar/%E3%81%9D%E3%81%86	N4 Useful2	そう	seems that, looks like
だけ	https://www.kanshudo.com/grammar/%E3%81%A0%E3%81%91	N5 Useful1	だけ	only
だと	https://www.kanshudo.com/grammar/%E3%81%A0%E3%81%A8	Useful4	だと	exclamation
だに	https://www.kanshudo.com/grammar/%E3%81%A0%E3%81%AB	N1 Useful5	だに	even
って	https://www.kanshudo.com/grammar/%E3%81%A3%E3%81%A6	N3 Useful3	って	casual version of という
っと	https://www.kanshudo.com/grammar/%E3%81%A3%E3%81%A8	Useful3	っと	rhetorical reinforcement particle
つつ	https://www.kanshudo.com/grammar/%E3%81%A4%E3%81%A4	N2 Useful4	つつ	while ~, ~; even though ~, ~
てく	https://www.kanshudo.com/grammar/%E3%81%A6%E3%81%8F		てく	colloquial contraction of ていく
です	https://www.kanshudo.com/grammar/%E3%81%A7%E3%81%99	N5 Useful1	です	is, am, are
とか	https://www.kanshudo.com/grammar/%E3%81%A8%E3%81%8B	N5	とか	~ or something
とも	https://www.kanshudo.com/grammar/%E3%81%A8%E3%82%82	Useful4	とも	to emphasize a response or statement
なお	https://www.kanshudo.com/grammar/%E3%81%AA%E3%81%8A	N2 Useful4	なお	moreover; furthermore; additionally
なき	https://www.kanshudo.com/grammar/%E3%81%AA%E3%81%8D		なき	~less; without ~; no-one; nothing
など	https://www.kanshudo.com/grammar/%E3%81%AA%E3%81%A9	N4 Useful2	など	~ etc., things like ~
にて	https://www.kanshudo.com/grammar/%E3%81%AB%E3%81%A6	Useful4	にて	formal location marker
ので	https://www.kanshudo.com/grammar/%E3%81%AE%E3%81%A7	N5 Useful1	ので	because; so; since
のに	https://www.kanshudo.com/grammar/%E3%81%AE%E3%81%AB	N4 Useful2	のに	despite
はず	https://www.kanshudo.com/grammar/%E3%81%AF%E3%81%9A	N4 Useful2	はず	ought
振り	https://www.kanshudo.com/grammar/%E6%8C%AF%E3%82%8A	N2 Useful4	ぶり	since
